MESS_DATUM,kWh,RSK,SDK,SHK_TAG,NM,TMK
2022-04-19,29.3,0.0,11.417,0,5.3,11.4
2022-04-20,32.8,0.0,13.033,0,4.4,11.4
2022-04-21,31.8,0.0,13.1,0,0.9,10.6
2022-04-22,29.3,0.0,11.717,0,3.5,12.4
2022-04-23,13.0,5.6,1.1,0,7.8,11.7
2022-04-24,4.7,9.7,0.0,0,7.7,9.9
2022-04-25,15.9,8.1,2.4,0,7.7,10.8
2022-04-26,17.9,0.6,3.55,0,6.8,10.4
2022-04-27,22.6,0.0,5.733,0,4.7,11.1
2022-04-28,33.1,0.0,13.433,0,0.8,12.9
2022-04-29,21.6,0.0,5.717,0,8.0,13.3
2022-04-30,26.3,0.0,6.383,0,4.9,11.7
2022-05-01,31.1,0.0,8.833,0,3.1,10.3
2022-05-02,30.8,0.0,12.167,0,2.6,12.5
2022-05-03,23.6,0.0,10.117,0,2.6,13.8
2022-05-04,22.3,1.0,4.767,0,7.0,14.1
2022-05-05,7.5,3.4,0.0,0,8.0,12.3
2022-05-06,19.1,0.0,4.217,0,6.6,13.7
2022-05-07,28.3,0.0,13.05,0,3.1,14.4
2022-05-08,22.3,0.0,8.65,0,3.4,15.2
2022-05-09,31.8,0.0,13.983,0,0.9,17.2
2022-05-10,24.9,0.0,9.967,0,7.3,19.8
2022-05-11,32.6,0.0,13.967,0,3.0,23.0
2022-05-12,20.2,5.3,6.583,0,7.3,20.8
2022-05-13,23.2,0.0,6.4,0,5.9,18.0
2022-05-14,32.8,0.0,13.833,0,4.0,16.9
2022-05-15,31.2,0.0,13.917,0,6.3,19.5
2022-05-16,21.4,0.5,7.333,0,5.5,19.3
2022-05-17,32.1,0.0,13.667,0,5.4,19.8
2022-05-18,31.5,0.0,14.05,0,3.8,23.0
2022-05-19,28.5,0.0,11.65,0,7.0,25.0
2022-05-20,24.5,0.5,9.717,0,7.1,24.7
2022-05-21,28.0,0.0,12.433,0,4.1,18.1
2022-05-22,21.6,0.0,8.4,0,7.1,17.8
2022-05-23,15.3,3.3,2.683,0,7.3,19.3
2022-05-24,24.7,0.8,5.317,0,6.5,17.1
2022-05-25,27.4,0.0,11.75,0,5.0,17.3
2022-05-26,19.2,0.0,5.267,0,4.3,16.9
2022-05-27,20.8,0.0,6.367,0,5.3,16.2
2022-05-28,29.6,0.0,12.65,0,4.4,14.5
2022-05-29,32.2,0.1,9.55,0,5.8,12.0
2022-05-30,35.2,0.0,14.833,0,1.3,13.1
2022-05-31,23.8,0.0,8.7,0,6.0,16.0
2022-06-01,24.3,0.0,9.75,0,5.8,18.1
2022-06-02,25.5,0.0,9.833,0,7.8,18.6
2022-06-03,16.8,1.7,5.567,0,7.3,18.9
2022-06-04,28.2,3.1,8.05,0,6.0,21.1
2022-06-05,22.6,2.6,5.4,0,6.4,20.4
2022-06-06,17.4,1.1,4.067,0,7.1,19.8
2022-06-07,19.8,0.1,3.05,0,6.5,17.7
2022-06-08,16.4,5.4,5.517,0,6.5,17.1
2022-06-09,18.7,0.0,5.733,0,5.5,16.6
2022-06-10,33.9,0.0,15.1,0,0.4,17.9
2022-06-11,33.1,0.0,15.05,0,0.0,20.7
2022-06-12,29.7,8.6,13.567,0,2.5,22.6
2022-06-13,33.5,0.0,14.233,0,2.2,19.5
2022-06-14,32.0,0.0,14.083,0,2.8,19.3
2022-06-15,31.9,0.0,14.917,0,0.8,22.6
2022-06-16,32.3,0.0,13.633,0,4.3,24.0
2022-06-17,31.3,0.0,13.95,0,7.7,22.7
2022-06-18,29.6,0.0,13.533,0,1.5,26.2
2022-06-19,31.3,1.3,13.967,0,0.0,29.2
2022-06-20,23.4,0.0,10.417,0,4.7,23.0
2022-06-21,27.9,0.4,8.95,0,6.5,21.3
2022-06-22,7.7,3.3,0.0,0,7.8,20.8
2022-06-23,30.2,22.5,12.8,0,3.9,23.1
2022-06-24,13.7,10.9,5.317,0,5.6,19.2
2022-06-25,30.8,3.0,13.6,0,3.0,21.8
2022-06-26,27.4,30.4,7.833,0,6.1,20.9
2022-06-27,12.9,0.5,0.983,0,7.8,19.4
2022-06-28,16.3,0.0,5.317,0,6.2,19.5
2022-06-29,28.8,0.0,9.75,0,2.5,22.3
2022-06-30,21.6,7.6,9.75,0,3.3,22.1
2022-07-01,23.3,1.5,5.667,0,5.5,17.0
2022-07-02,33.3,0.0,15.117,0,0.0,20.1
